City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,santa rita,-7.1139,-34.9781,301.52,74,20,5.66,BR,-10800
335,itarema,-2.9248,-39.9167,299.68,80,45,6.65,BR,-10800
336,tabuk,17.4189,121.4443,291.44,89,92,1.43,PH,28800
337,tiksi,71.6872,128.8694,246.67,100,100,1.98,RU,32400
338,metro,-5.1131,105.3067,297.31,88,100,0.73,ID,25200
339,grindavik,63.8424,-22.4338,276.12,80,75,6.69,IS,0
340,faya,18.3851,42.4509,286.44,64,75,0.11,SA,10800
341,baker city,44.7749,-117.8344,278.99,58,75,6.69,US,-28800
342,eirunepe,-6.6603,-69.8736,300.58,77,92,0.93,BR,-18000
343,terra santa,-2.1042,-56.4869,302.35,71,91,0.71,BR,-10800
344,kandrian,-6.2167,149.55,299.01,86,97,2.63,PG,36000
345,cartagena del chaira,1.3349,-74.8429,308.67,27,82,1.49,CO,-18000
346,carballo,43.213,-8.691,282.52,95,4,1.76,ES,3600
347,melfi,40.9965,15.6514,277.46,61,99,6.89,IT,3600
348,charcas,23.1333,-101.1167,291.07,21,51,2.23,MX,-21600
349,arinos,-15.9169,-46.1056,299.85,69,62,1.21,BR,-10800
350,aklavik,68.2191,-135.0107,237.15,68,20,1.03,CA,-25200
351,umarkot,25.3616,69.7362,292.12,43,1,3.73,PK,18000
352,cockburn town,21.4612,-71.1419,299.13,65,40,6.17,TC,-18000
353,watsa,3.0372,29.5355,294.02,37,47,0.62,CD,7200
354,nouadhibou,20.931,-17.0347,294.14,30,78,5.14,MR,0
355,whitehorse,60.7161,-135.0538,261.58,84,75,2.06,CA,-25200
356,nurota,40.5614,65.6886,277.25,72,47,2.76,UZ,18000
357,chaohu,31.6,117.8667,279.05,71,100,4.52,CN,28800
358,sibolga,1.7427,98.7792,297.47,86,100,1.2,ID,25200
359,hervey bay,-25.2986,152.8535,298.97,84,94,5.19,AU,36000
360,saint-pierre,-21.3393,55.4781,298.97,83,0,2.06,RE,14400
361,shiyan,32.6475,110.7781,276.36,65,98,0.37,CN,28800
362,inzer,54.2167,57.5556,256.01,95,76,1.63,RU,18000
363,kaifeng,34.7911,114.3483,274.35,72,2,2.88,CN,28800
364,maputo,-25.9653,32.5892,299.97,74,40,4.12,MZ,7200
365,seredka,58.1584,28.1858,269.01,91,83,3.9,RU,10800
366,kyabe,9.4515,18.9449,301.65,14,24,2.27,TD,3600
367,lujan,-34.5703,-59.105,302.05,43,0,2.24,AR,-10800
368,omsukchan,62.5333,155.8,243.25,97,100,1.9,RU,39600
369,mehamn,71.0357,27.8492,271.12,86,76,2.57,NO,3600
370,bermeo,43.4209,-2.7215,283.28,81,100,2.94,ES,3600
371,cap-aux-meules,47.3821,-61.8597,260.18,92,100,18.52,CA,-14400
372,ushtobe,45.2514,77.9838,272.73,97,100,2.37,KZ,21600
373,geraldton,-28.7667,114.6,295.38,94,75,3.6,AU,28800
374,burriana,39.889,-0.085,286.3,44,0,1.98,ES,3600
375,kudahuvadhoo,2.6708,72.8944,299.49,68,80,3.14,MV,18000
376,albanel,48.8832,-72.4487,248.14,58,99,4.63,CA,-18000
377,port hardy,50.6996,-127.4199,281.25,93,75,10.29,CA,-28800
378,lokoja,7.8024,6.743,303.6,16,65,0.59,NG,3600
379,marawi,7.9986,124.2928,292.26,90,100,0.71,PH,28800
380,narsaq,60.9167,-46.05,270.27,87,100,7.73,GL,-10800
